0 8.83699e-07 0
0.05 6.6674e-05 1.38044e-07
0.1 0.000298995 1.22333e-05
0.15 0.000312668 0.000287714
0.2 -0.0012829 0.00146587
0.25 -0.00293828 0.00120398
0.3 0.0107957 -0.0136956
0.35 0.0448108 -0.0362622
0.4 -0.0575502 0.113361
0.45 -0.558454 0.651238
0.5 -0.042647 -0.288324
0.55 6.48597 -8.41526
0.6 9.47494 -10.2464
0.65 -64.463 85.2646
0.7 -209.585 260.197
0.75 467.26 -615.538
0.8 3257.79 -4114.03
0.85 -661.091 939.446
0.9 -40580.2 51135.2
0.95 -55154.4 69004.2
1 405962 -509182
1.05 1.30349e+06 -1.63216e+06
1.1 -2.87539e+06 3.59214e+06
1.15 -2.02871e+07 2.53519e+07
1.2 2.98985e+06 -3.67244e+06
1.25 2.50128e+08 -3.12148e+08
1.3 3.56092e+08 -4.44828e+08
1.35 -2.46653e+09 3.07584e+09
1.4 -8.17375e+09 1.01977e+10
1.45 1.70064e+10 -2.11981e+10
1.5 1.25488e+11 -1.56499e+11
1.55 -8.85775e+09 1.096e+10
1.6 -1.53097e+12 1.90905e+12
1.65 -2.29303e+12 2.85982e+12
1.7 1.49134e+13 -1.85956e+13
1.75 5.10988e+13 -6.37201e+13
1.8 -1.00185e+14 1.2492e+14
1.85 -7.74773e+14 9.66117e+14
1.9 -3.36925e+12 4.23906e+12
1.95 9.36085e+15 -1.16727e+16
2 1.47141e+16 -1.83482e+16
2.05 -9.00976e+16 1.12349e+17
2.1 -3.19106e+17 3.97918e+17
2.15 5.88977e+17 -7.34439e+17
2.2 4.78087e+18 -5.96163e+18
2.25 3.73977e+17 -4.66334e+17
2.3 -5.72092e+19 7.13386e+19
2.35 -9.41969e+19 1.17461e+20
2.4 5.43942e+20 -6.78285e+20
2.45 1.99137e+21 -2.4832e+21
2.5 -3.45418e+21 4.30729e+21
2.55 -2.94879e+22 3.67709e+22
2.6 -4.4654e+21 5.56824e+21
2.65 3.49478e+23 -4.35791e+23
2.7 6.01791e+23 -7.50421e+23
2.75 -3.28149e+24 4.09195e+24
2.8 -1.24188e+25 1.54859e+25
2.85 2.02031e+25 -2.51929e+25
2.9 1.81798e+26 -2.26698e+26
2.95 4.07359e+25 -5.07969e+25
3 -2.13388e+27 2.66091e+27
3.05 -3.83733e+27 4.78508e+27
3.1 1.97813e+28 -2.46668e+28
3.15 7.73965e+28 -9.65118e+28
3.2 -1.17814e+29 1.46912e+29
3.25 -1.12031e+30 1.39701e+30
3.3 -3.31856e+29 4.13817e+29
3.35 1.30232e+31 -1.62396e+31
3.4 2.44257e+31 -3.04584e+31
3.45 -1.19148e+32 1.48576e+32
3.5 -4.82047e+32 6.01102e+32
3.55 6.84763e+32 -8.53886e+32
3.6 6.90079e+33 -8.60514e+33
3.65 2.53901e+33 -3.16609e+33
3.7 -7.94431e+34 9.90639e+34
3.75 -1.55222e+35 1.93558e+35
3.8 7.17069e+35 -8.9417e+35
3.85 3.00047e+36 -3.74153e+36
3.9 -3.96532e+36 4.94467e+36
3.95 -4.24881e+37 5.29818e+37
4 -1.86641e+37 2.32738e+37
4.05 4.84379e+38 -6.0401e+38
4.1 9.84896e+38 -1.22815e+39
4.15 -4.31177e+39 5.37669e+39
4.2 -1.86651e+40 2.3275e+40
4.25 2.2867e+40 -2.85147e+40
4.3 2.61484e+41 -3.26066e+41
4.35 1.33442e+41 -1.664e+41
4.4 -2.95189e+42 3.68095e+42
4.45 -6.24028e+42 7.7815e+42
4.5 2.59034e+43 -3.2301e+43
4.55 1.16042e+44 -1.44702e+44
4.6 -1.31247e+44 1.63663e+44
4.65 -1.60855e+45 2.00583e+45
4.7 -9.34785e+44 1.16566e+45
4.75 1.79804e+46 -2.24212e+46
4.8 3.94849e+46 -4.92369e+46
4.85 -1.5547e+47 1.93868e+47
4.9 -7.2103e+47 8.9911e+47
4.95 7.49243e+47 -9.3429e+47
5 9.89091e+48 -1.23338e+49
5.05 6.44656e+48 -8.03873e+48
5.1 -1.09465e+50 1.36501e+50
5.15 -2.4952e+50 3.11146e+50
